FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
020511;0000;169,792;;;
020512;0000;98,3333;;;
020513;0000;97,9166;;;
020514;0000;17,7083;;;
020515;0000;26,8333;;;
020516;0000;31,7917;;;
020517;0000;60,2083;;;
020518;0000;36,875;;;
020519;0000;21,5;;;
020520;0000;105,143;;;
020521;0000;138,292;;;
020522;0000;138,375;;;
020523;0000;110,833;;;
020524;0000;108,458;;;
020525;0000;54,7083;;;
020526;0000;8,875;;;
020527;0000;10,125;;;
020528;0000;73,7727;;;
020529;0000;67,625;;;
020530;0000;106,083;;;
020531;0000;;;;
020601;0000;;;;
020602;0000;41,4583;;;
020603;0000;11,7083;;;
020604;0000;7,08333;;;
020605;0000;15,2917;;;
020606;0000;73,9583;;;
020607;0000;146,583;;;
020608;0000;133,667;;;
020609;0000;92;;;
020610;0000;147,292;;;
020611;0000;195,583;;;
020612;0000;115,667;;;
020613;0000;145,5;;;
020614;0000;129,304;;;
020615;0000;233,65;;;
020616;0000;179,667;;;
020617;0000;143,652;;;
020618;0000;215,958;;;
020619;0000;233,167;;;
020620;0000;206,125;;;
020621;0000;242,208;;;
020622;0000;199,417;;;
020623;0000;132,542;;;
020624;0000;59,25;;;
020625;0000;74,4781;;;
020626;0000;87,7083;;;
020627;0000;17,125;;;
020628;0000;13,0417;;;
020629;0000;27,2917;;;
020630;0000;73,7916;;;
020701;0000;143,125;;;
020702;0000;108,125;;;
020703;0000;89,4583;;;
020704;0000;119,5;;;
020705;0000;73,7083;;;
020706;0000;131,5;;;
020707;0000;180,958;;;
020708;0000;200,5;;;
020709;0000;214,583;;;
020710;0000;175,792;;;
020711;0000;159,583;;;
020712;0000;254,762;;;
020713;0000;228,542;;;
020714;0000;149,25;;;
020715;0000;181,708;;;
020716;0000;200,208;;;
020717;0000;150,917;;;
020718;0000;92,9166;;;
020719;0000;88,6666;;;
020720;0000;16,0417;;;
020721;0000;22,4167;;;
020722;0000;21,9167;;;
020723;0000;17,4583;;;
020724;0000;91,1;;;
020725;0000;113,792;;;
020726;0000;112,25;;;
020727;0000;163,917;;;
020728;0000;102,292;;;
020729;0000;68,7916;;;
020730;0000;28,2083;;;
020731;0000;56,6666;;;
020801;0000;88,4583;;;
020802;0000;121;;;
020803;0000;104,75;;;
020804;0000;125,042;;;
020805;0000;63,8333;;;
020806;0000;67,8333;;;
020807;0000;38,0416;;;
020808;0000;44,5;;;
020809;0000;141,333;;;
020810;0000;153,25;;;
020811;0000;129,042;;;
020812;0000;94,8333;;;
020813;0000;124,208;;;
020814;0000;135,208;;;
020815;0000;179,708;;;
020816;0000;126,542;;;
020817;0000;60,625;;;
020818;0000;9,83333;;;
020819;0000;20,0417;;;
020820;0000;79,7916;;;
020821;0000;117,333;;;
020822;0000;103,125;;;
020823;0000;68,0833;;;
020824;0000;33,375;;;
020825;0000;42,6666;;;
020826;0000;44,0833;;;
020827;0000;37,7272;;;
020828;0000;21,2917;;;
020829;0000;55,4761;;;
020830;0000;85,9166;;;
020831;0000;154,125;;;
020901;0000;149,375;;;
020902;0000;111,792;;;
020903;0000;62,4583;;;
020904;0000;37,5833;;;
020905;0000;24,2083;;;
020906;0000;87,6666;;;
020907;0000;125,542;;;
020908;0000;157,625;;;
020909;0000;94,625;;;
020910;0000;32,7083;;;
020911;0000;48;;;
020912;0000;;;;
020913;0000;57,75;;;
020914;0000;60,1666;;;
020915;0000;53,2083;;;
020916;0000;41,1666;;;
020917;0000;27,0869;;;
020918;0000;32,1666;;;
020919;0000;42,1666;;;
020920;0000;65,4166;;;
020921;0000;84,5;;;
020922;0000;77,0833;;;
020923;0000;;;;
020924;0000;71,4583;;;
020925;0000;55,9166;;;
020926;0000;62,2916;;;
020927;0000;48,8333;;;
020928;0000;76,6666;;;
020929;0000;71,7916;;;
020930;0000;56,2916;;;
021001;0000;73,3333;;;
021002;0000;33,9166;;;
021003;0000;40,75;;;
021004;0000;44,7083;;;
021005;0000;55,75;;;
021006;0000;29,5417;;;
021007;0000;32,75;;;
021008;0000;59,3333;;;
021009;0000;;;;
021010;0000;69,9583;;;
021011;0000;99,6666;;;
021012;0000;77,75;;;
021013;0000;58,25;;;
021014;0000;48,2083;;;
021015;0000;41;;;
021016;0000;62,2916;;;
021017;0000;66,25;;;
021018;0000;69,0833;;;
021019;0000;68,625;;;
021020;0000;23,125;;;
021021;0000;57,2916;;;
021022;0000;85,5625;;;
021023;0000;53,9583;;;
021024;0000;53,3333;;;
021025;0000;46,2083;;;
021026;0000;87,0416;;;
021027;0000;74,9166;;;
021028;0000;65,1666;;;
